Signature;reachable;found
"<io.netty.handler.codec.socksx.v5.Socks5CommandResponseDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter: java.lang.CharSequence convertObject(java.lang.Object)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5PasswordAuthRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5CommandRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5CommandRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v5.Socks5CommandRequestDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.buffer.CompositeByteBuf: int toComponentIndex(int)>";0;1
"<io.netty.buffer.CompositeByteBuf: int toComponentIndex(int)>";0;1
"<io.netty.buffer.CompositeByteBuf: int toComponentIndex(int)>";0;1
"<io.netty.buffer.CompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.CompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.CompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.socket.nio.NioSocketChannel: void doWrite(io.netty.channel.ChannelOutboundBuffer)>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
